specimen_id	class
324266189	unknown
517077548	unknown
488679042	unknown
320466871	unknown
502383543	unknown
530737765	unknown
488695444	unknown
568568071	unknown
481136138	unknown
477127614	unknown
535728342	unknown
537313600	unknown
591278744	unknown
502359001	unknown
471077857	unknown
527942865	unknown
485468180	unknown
466245544	unknown
566671538	unknown
486502127	unknown
483061182	unknown
526643573	unknown
541536216	unknown
515435668	unknown
490485142	unknown
596028822	unknown
468193142	unknown
569998790	unknown
577369606	unknown
476457450	unknown
479013100	unknown
501956013	unknown
526725807	unknown
522301604	unknown
471767045	unknown
475549334	unknown
526785799	unknown
503814817	unknown
323475862	unknown
537261100	unknown
476218657	unknown
528706755	unknown
476455864	unknown
586073683	unknown
571659461	unknown
585951863	unknown
570896453	unknown
569670455	unknown
569821470	unknown
320207387	unknown
501841672	unknown
479225080	unknown
488680211	unknown
327962063	unknown
567029686	unknown
314831019	unknown
506133241	unknown
528038990	unknown
569809287	unknown
314642645	unknown
501847931	unknown
548494556	unknown
471758398	unknown
580161872	unknown
510136749	unknown
485574721	unknown
471800189	unknown
569818704	unknown
510658021	unknown
515464483	unknown
517345160	unknown
556923554	unknown
529807751	unknown
614767057	unknown
595999306	unknown
601958555	unknown
565863515	unknown
571396942	unknown
601927090	unknown
515315072	unknown
477135941	unknown
547344442	unknown
490916882	unknown
479010903	unknown
602822298	unknown
571624971	unknown
569107566	unknown
531517732	unknown
578938153	unknown
517319635	unknown
542143598	unknown
583138230	unknown
565866518	unknown
501798889	unknown
475515168	unknown
508298270	unknown
479179020	unknown
519832676	unknown
482516631	unknown
527869035	unknown
522152249	unknown
483092310	unknown
555089724	unknown
548473051	unknown
490387590	unknown
469704261	unknown
567354967	unknown
486239338	unknown
508279351	unknown
567763632	unknown
488501071	unknown
485905391	unknown
526573598	unknown
593321019	unknown
321923685	unknown
466664172	unknown
480353286	unknown
537297470	unknown
537218493	unknown
484679812	unknown
488504814	unknown
321708130	unknown
586566174	unknown
583434059	unknown
323540736	unknown
485574832	unknown
555345752	unknown
483020137	unknown
467782778	unknown
485838981	unknown
547262585	unknown
386049446	unknown
476686112	unknown
567927838	unknown
567952169	unknown
480124551	unknown
329550277	unknown
574992320	unknown
488386626	unknown
473943881	unknown
591265629	unknown
502267531	unknown
637034000	unknown
482516216	unknown
486783119	unknown
571483807	unknown
475888653	unknown
476823462	unknown
486262299	unknown
526800653	unknown
569820130	unknown
562381210	unknown
571867358	unknown
515249852	unknown
488680917	unknown
473540161	unknown
530081951	unknown
475542743	unknown
537204107	unknown
562003142	unknown
548425467	unknown
537313158	unknown
348592897	unknown
464188580	unknown
569100745	unknown
531517778	unknown
513531471	unknown
488697163	unknown
574377552	unknown
323452196	unknown
475517090	unknown
469798159	unknown
582917630	unknown
323535089	unknown
487601493	unknown
480003970	unknown
530062215	unknown
508305938	unknown
562632795	unknown
556968207	unknown
614651270	unknown
466632464	unknown
324466858	unknown
574993444	unknown
574038330	unknown
555001065	unknown
571520182	unknown
527095729	unknown
571642127	unknown
548440226	unknown
508421103	unknown
501845152	unknown
314804042	unknown
469753383	unknown
488683425	unknown
529878215	unknown
475202388	unknown
583138568	unknown
584872371	unknown
599334696	unknown
480122859	unknown
580010290	unknown
